ID,X,Y,Z,E
1001,15.1896,-2.74759,18.6,4.67284
1001,-13.1823,-6.40722,18.6,3.71731
1001,3.30927,16.4691,18.6,3.64524
1001,19.0253,-14.5157,18.6,3.58513
1001,-19.8912,5.68913,18.6,4.14709
1001,16.2794,-19.1805,18.6,3.30518
1001,23.1913,-7.47888,18.6,3.96279
1001,-17.7737,-15.7065,18.6,3.6812
1001,5.31273,17.8907,18.6,3.75439
1001,10.383,-19.2478,18.6,3.56947
1001,7.55101,-16.2107,18.6,4.02593
1001,1.78154,-7.80502,18.6,3.70927
1001,-14.4789,-18.149,18.6,1.05236
1001,-13.4993,5.92978,18.6,4.14647
1001,-12.5022,-1.84156,18.6,3.90683
1001,-12.9026,-20.9056,18.6,3.99706
1001,-9.22938,-8.77648,18.6,3.68145
1001,21.0836,-7.22701,18.6,4.28173
1001,-1.94573,-7.71181,18.6,3.26515
1001,-7.62921,3.06042,18.6,3.83076
1001,-20.5052,1.54729,18.6,3.70357
1001,-22.9915,-2.21878,18.6,4.29585
1001,-9.01046,-14.5423,18.6,1.73298
1001,16.5721,-22.4068,18.6,3.7109
1001,-23.7366,12.1512,18.6,3.45336
1001,0.640535,17.6699,18.6,3.48082
1001,16.8444,-1.43842,18.6,2.8616
1001,2.14838,21.0982,18.6,3.01215
1001,-15.2807,-17.0936,18.6,3.80615
1001,-3.55791,-13.1042,18.6,0.370024
1001,-9.56531,-6.81008,18.6,2.88449
1001,-13.1873,4.78612,18.6,4.05824
1001,2.06911,-22.5744,18.6,1.90475
1001,4.90655,-17.7152,18.6,4.03809
1001,-14.3074,18.2857,18.6,3.86093
1001,3.50894,23.3306,18.6,4.34652
1001,-7.10608,-4.31789,18.6,3.68699
1001,-9.87066,14.7875,18.6,3.82649
1001,18.8708,2.50954,18.6,3.82097
1001,-13.6828,8.65313,18.6,3.54832
1001,-8.72366,-12.0557,18.6,3.76747
1001,16.5338,10.7978,18.6,3.80886
1001,-1.42355,12.2094,18.6,3.35173
1001,-8.00107,-3.79916,18.6,4.12302
1001,16.0738,-0.554932,18.6,3.81913
1001,7.75655,2.37084,18.6,3.713
1001,-21.6784,-2.46568,18.6,3.83378
1001,-11.0913,-2.08379,18.6,4.05115
1001,8.44047,-13.8614,18.6,4.06655
1001,-9.42885,-7.49225,18.6,3.09772
1001,-15.8752,0.199344,18.6,1.73699
1001,9.00231,7.26554,18.6,9.71696
1001,11.3026,14.9933,18.6,3.80505
1001,-20.3111,13.7092,18.6,4.28814
1001,-0.443212,15.5859,18.6,3.05607
1001,6.86257,-15.5959,18.6,7.84883
1001,2.40123,2.09754,18.6,10.2637
1001,-22.9076,-5.42404,18.6,3.38776
1001,12.6224,19.6335,18.6,3.6034
1001,1.60387,-10.9506,18.6,3.89481
1001,-0.916242,4.13271,18.6,4.02266
1001,0.34777,-19.0798,18.6,3.7236
1001,-18.8265,17.3105,18.6,3.80639
1001,11.4298,9.10857,18.6,3.17578
1001,-13.4092,18.9033,18.6,3.35231
1001,9.88032,-7.07063,18.6,3.277
1001,22.42,5.35365,18.6,3.72346
1001,-23.2047,-9.59272,18.6,3.7201
1001,-20.305,-2.19569,18.6,3.65943
